"date","close","volume","open","high","signal","low"
"2016/06/14","214.96","3575822.0","218.88","222.2","0.76577","0.76577"
"2016/06/15","217.7","2905002.0","216.95","221.9","0.76167","0.76167"
"2016/06/16","217.93","2438692.0","217.42","218.04","0.76413","0.76413"
"2016/06/17","215.47","3107734.0","217.81","219.99","0.76495","0.76495"
"2016/06/20","219.7","3549768.0","219.5","223.75","0.76413","0.76413"
"2016/06/21","219.61","2855619.0","220.68","222.569","0.76167","0.76167"
"2016/06/22","196.66","23706100.0","199.47","205.95","0.76167","0.76167"
"2016/06/23","196.4","10098190.0","195.69","197.55","0.76331","0.76331"
"2016/06/24","193.15","6988949.0","190.05","195.12","0.76413","0.76413"
"2016/06/27","198.55","7211823.0","190.86","198.81","0.76167","0.76167"
"2016/06/28","201.79","6158996.0","201.89","204.05","0.76003","0.76003"
"2016/06/29","210.19","5987120.0","205.13","211.78","0.76413","0.76413"
"2016/06/30","212.28","4794440.0","212.97","213.4999","0.76577","0.76577"
"2016/07/01","216.5","5396030.0","206.14","218.24","0.76577","0.76577"
"2016/07/05","213.98","5169832.0","209.73","214.5441","0.7674","0.7674"
"2016/07/06","214.44","4910285.0","210.0","215.23","0.77232","0.77232"
"2016/07/07","215.94","3603385.0","213.1","218.12","0.77559","0.77559"
"2016/07/08","216.78","4067131.0","217.8","219.81","0.77559","0.77559"
"2016/07/11","224.78","5369066.0","219.96","226.78","0.77805","0.77805"
"2016/07/12","224.65","4573875.0","224.1","227.5","0.78215","0.78215"
"2016/07/13","222.53","3540699.0","225.5","225.59","0.78542","0.78542"
"2016/07/14","221.53","2657899.0","223.12","224.94","0.78624","0.78624"
"2016/07/15","220.4","2230821.0","222.52","222.7499","0.78542","0.78542"
"2016/07/18","226.25","3394588.0","219.64","227.09","0.78706","0.78706"
"2016/07/19","225.26","3047535.0","225.0","229.1","0.79034","0.79034"
"2016/07/20","228.36","2556119.0","226.47","229.8","0.79034","0.79034"
"2016/07/21","220.5","4425756.0","226.0","227.847","0.79279","0.79279"
"2016/07/22","222.27","2570462.0","221.99","224.5","0.79197","0.79197"
"2016/07/25","230.01","4479483.0","222.27","231.39","0.79443","0.79443"
"2016/07/26","229.51","3427251.0","227.69","230.0","0.79279","0.79279"
"2016/07/27","228.49","2887028.0","229.34","233.36","0.79361","0.79361"
"2016/07/28","230.61","2415462.0","227.95","230.76","0.79279","0.79279"
"2016/07/29","234.79","3061574.0","230.7","235.28","0.79607","0.79607"
"2016/08/01","230.01","4014048.0","235.5","236.63","0.79525","0.79525"
"2016/08/02","227.2","3928706.0","229.37","229.87","0.79525","0.79525"
"2016/08/03","225.79","3808747.0","227.37","229.699","0.79279","0.79279"
"2016/08/04","230.61","4142155.0","225.69","230.86","0.79443","0.79443"
"2016/08/05","230.03","3190342.0","230.0","232.0","0.79443","0.79443"
"2016/08/08","226.16","2259465.0","228.0","229.6","0.79607","0.79607"
"2016/08/09","229.08","2199766.0","226.82","231.5375","0.79197","0.79197"
"2016/08/10","225.65","2336496.0","228.24","229.87","0.79361","0.79361"
"2016/08/11","224.91","1876959.0","226.17","227.57","0.79361","0.79361"
"2016/08/12","225.61","1811850.0","225.41","226.65","0.79279","0.79279"
"2016/08/15","225.59","2017964.0","226.02","229.5","0.79361","0.79361"
"2016/08/16","223.61","2251115.0","225.49","227.19","0.79443","0.79443"
"2016/08/17","223.24","1786408.0","224.33","224.83","0.79361","0.79361"
"2016/08/18","223.51","1699300.0","223.82","225.66","0.79361","0.79361"
"2016/08/19","225.0","1658616.0","223.54","225.169","0.79279","0.79279"
"2016/08/22","222.93","2061692.0","224.17","225.11","0.79115","0.79115"
"2016/08/23","224.84","4747745.0","224.32","228.49","0.79279","0.79279"
"2016/08/24","222.62","2566947.0","227.05","227.15","0.79115","0.79115"
"2016/08/25","220.96","1760212.0","223.11","223.8","0.79115","0.79115"
